date_id,currency_code,rate_to_usd
20220216,EUR,0.87935
20220216,GBP,0.73813
20220216,JPY,115.69
20220216,USD,1
20220217,CAD,1.2699
20220217,EUR,0.87951
20220217,GBP,0.73433
20220217,JPY,115.07
20220217,USD,1
20220218,CAD,1.2704
20220218,EUR,0.88075
20220218,GBP,0.73476
20220218,JPY,115.02
20220218,USD,1
20220219,CAD,1.2704
20220219,EUR,0.88075
20220219,GBP,0.73476
20220219,JPY,115.02
20220219,USD,1
20220220,CAD,1.2704
20220220,EUR,0.88075
20220220,GBP,0.73476
20220220,JPY,115.02
20220220,USD,1
20220221,CAD,1.2748
20220221,EUR,0.88199
20220221,GBP,0.73468
20220221,JPY,114.84
20220221,USD,1
20220222,CAD,1.2732
20220222,EUR,0.88168
20220222,GBP,0.73783
20220222,JPY,115.09
20220222,USD,1
20220223,CAD,1.2689
20220223,EUR,0.88152
20220223,GBP,0.73575
20220223,JPY,115.11
20220223,USD,1
20220224,CAD,1.2825
20220224,EUR,0.89582
20220224,GBP,0.74768
20220224,JPY,114.92
20220224,USD,1
20220225,CAD,1.2772
20220225,EUR,0.89158
20220225,GBP,0.74661
20220225,JPY,115.58
20220225,USD,1
20220226,CAD,1.2772
20220226,EUR,0.89158
20220226,GBP,0.74661
20220226,JPY,115.58
20220226,USD,1
20220227,CAD,1.2772
20220227,EUR,0.89158
20220227,GBP,0.74661
20220227,JPY,115.58
20220227,USD,1
20220228,CAD,1.2737
20220228,EUR,0.89294
20220228,GBP,0.74605
20220228,JPY,115.47
20220228,USD,1
20220301,CAD,1.2684
20220301,EUR,0.8959
20220301,GBP,0.74619
20220301,JPY,114.81
20220301,USD,1
20220302,CAD,1.2685
20220302,EUR,0.90041
20220302,GBP,0.75019
20220302,JPY,115.33
20220302,USD,1
20220303,CAD,1.2633
20220303,EUR,0.90285
20220303,GBP,0.74732
20220303,JPY,115.73
20220303,USD,1
20220304,CAD,1.2752
20220304,EUR,0.915
20220304,GBP,0.75385
20220304,JPY,115.45
20220304,USD,1
20220305,CAD,1.2752
20220305,EUR,0.915
20220305,GBP,0.75385
20220305,JPY,115.45
20220305,USD,1
20220306,CAD,1.2752
20220306,EUR,0.915
20220306,GBP,0.75385
20220306,JPY,115.45
20220306,USD,1
20220307,CAD,1.2725
20220307,EUR,0.91785
20220307,GBP,0.75838
20220307,JPY,115.24
20220307,USD,1
20220308,CAD,1.2833
20220308,EUR,0.91811
20220308,GBP,0.76373
20220308,JPY,115.71
20220308,USD,1
20220309,CAD,1.2834
20220309,EUR,0.90967
20220309,GBP,0.76021
20220309,JPY,115.81
20220309,USD,1
20220310,CAD,1.2801
20220310,EUR,0.9022
20220310,GBP,0.75943
20220310,JPY,115.97
20220310,USD,1
20220311,CAD,1.2761
20220311,EUR,0.90992
20220311,GBP,0.76406
20220311,JPY,116.89
20220311,USD,1
20220312,CAD,1.2761
20220312,EUR,0.90992
20220312,GBP,0.76406
20220312,JPY,116.89
20220312,USD,1
20220313,CAD,1.2761
20220313,EUR,0.90992
20220313,GBP,0.76406
20220313,JPY,116.89
20220313,USD,1
20220314,CAD,1.2754
20220314,EUR,0.91241
20220314,GBP,0.76565
20220314,JPY,117.97
20220314,USD,1
20220315,CAD,1.2828
20220315,EUR,0.90984
20220315,GBP,0.76474
20220315,JPY,117.98
20220315,USD,1
20220316,CAD,1.2704
20220316,EUR,0.90959
20220316,GBP,0.76394
20220316,JPY,118.29
20220316,USD,1
20220317,CAD,1.2667
20220317,EUR,0.9049
20220317,GBP,0.76296
20220317,JPY,118.79
20220317,USD,1
20220318,CAD,1.2637
20220318,EUR,0.90843
20220318,GBP,0.7624
20220318,JPY,119.37
20220318,USD,1
20220319,CAD,1.2637
20220319,EUR,0.90843
